"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Aarakocra Aeromancer","MM'25","10","Medium","Elemental","neutral","16","66 (12d8 + 12)","20 ft., Fly 50 ft.","10","16","12","13","17","12","Dex +5, Wis +5","Arcana +3, Nature +5, Perception +7","","","","","passive Perception 17","Aarakocra, Primordial (Auran)","4 (XP 1,100; PB +2)","","Multiattack. The aarakocra makes two Wind Staff attacks, and it can use Spellcasting to cast Gust of Wind.

Spellcasting. The aarakocra casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 13):

At will: Elementalism, Gust of Wind, Mage Hand, Message

1/day: Lightning Bolt

Wind Staff. Melee or Ranged Attack Roll: +5, reach 5 ft. or range 120 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 11 (2d10) Lightning damage.","","Feather Fall (1/Day). The aarakocra casts Feather Fall in response to that spell's trigger, using the same spellcasting ability as Spellcasting.","","","","","Mountain, Planar (Elemental Plane of Air)","Individual, Implements"
"Acererak","ToA","209","Medium","Undead","neutral evil","21 (natural armor)","285 (30d8 + 150)","30 ft.","13","16","20","27","21","20","Con +12, Int +15, Wis +12","Arcana +22, History +22, Insight +12, Perception +12","","cold, lightning","necrotic, poison; bludgeoning, piercing, and slashing from nonmagical attacks","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, stunned","Truesight 120 ft., passive Perception 22","Abyssal, Common, Draconic, Dwarvish, Elvish, Giant, Infernal, Primordial, Undercommon","23 (XP 50,000; PB +7)","Special Equipment. Acererak carries the Staff of the Forgotten One. He wears a Talisman of the Sphere and has a Sphere of Annihilation under his control.

Legendary Resistance (3/Day). If Acererak fails a saving throw, he can choose to succeed instead.

Rejuvenation. Acererak's body turns to dust when he drops to 0 hit points, and his equipment is left behind. Acererak gains a new body after 1d10 days, regaining all his hit points and becoming active again. The new body appears within 5 feet of Acererak's phylactery, the location of which is hidden.

Spellcasting. Acererak is a 20th-level spellcaster. His spellcasting ability is Intelligence (spell save DC 23, +15 to hit with spell attacks). Acererak has the following wizard spells prepared:

Cantrips (at will): mage hand, ray of frost, shocking grasp

1st level (at will): ray of sickness, shield

2nd level (at will): arcane lock, knock

3rd level (at will): animate dead, counterspell

4th level (3 slots): blight, ice storm, phantasmal killer

5th level (3 slots): cloudkill, hold monster, wall of force

6th level (3 slots): chain lightning, circle of death, disintegrate

7th level (3 slots): finger of death, plane shift, teleport

8th level (2 slots): maze, mind blank

9th level (2 slots): power word kill, time stop

Turn Resistance. Acererak has advantage on saving throws against any effect that turns undead.","Paralyzing Touch. Melee Spell Attack: +15 to hit, reach 5 ft., one creature. Hit: 10 (3d6) cold damage, and the target must succeed on a DC 20 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.

Staff (+3 Quarterstaff). Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 10 (3d6) necrotic damage, or 8 (1d8 + 4) bludgeoning damage plus 10 (3d6) necrotic damage when used with two hands.

Invoke Curse. While holding the Staff of the Forgotten One, Acererak expends 1 charge from it and targets one creature he can see within 60 feet of him. The target must succeed on a DC 23 Constitution saving throw or be cursed. Until the curse is ended, the target can't regain hit points and has vulnerability to necrotic damage. Greater restoration, remove curse, or similar magic ends the curse on the target.","","","At-Will Spell. Acererak casts one of his at-will spells.

Melee Attack. Acererak uses Paralyzing Touch or makes one melee attack with his staff.

Frightening Gaze (Costs 2 Actions). Acererak fixes his gaze on one creature he can see within 10 feet of him. The target must succeed on a DC 20 Wisdom saving throw against this magic or become frightened for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target its immune to Acererak's gaze for the next 24 hours.

Talisman of the Sphere (Costs 2 Actions). Acererak uses his Talisman of the Sphere to move the Sphere of Annihilation under his control up to 90 feet.

Disrupt Life (Costs 3 Actions). Each creature within 20 feet of Acererak must make a DC 20 Constitution saving throw against this magic, taking 42 (12d6) necrotic damage on a failed save, or half as much damage on a successful one.","","","","",""
"Albino Dwarf Warrior","ToA","210","Medium","Humanoid (Dwarf)","any alignment","13 (hide armor)","30 (4d8 + 12)","25 ft.","13","13","17","12","14","11","","Perception +4, Stealth +3, Survival +4","","poison","","","Darkvision 60 ft., passive Perception 14","Common, Dwarvish","1/4 (XP 50; PB +2)","Dwarven Resilience. The dwarf has advantage on saving throws against poison.","Handaxe. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) slashing damage.","","","","","","","",""
"Aldani (Lobsterfolk)","ToA","210","Medium","Monstrosity","lawful neutral","14 (natural armor)","49 (9d8 + 9)","20 ft., Swim 30 ft.","13","8","12","10","14","10","","Perception +4, Survival +4","","","","","Darkvision 60 ft., passive Perception 14","Common","1 (XP 200; PB +2)","Amphibious. The aldani can breathe air and water.","Multiattack. The aldani makes two attacks with its claws.

Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage, and the target is grappled (escape DC 11). The aldani has two claws, each of which can grapple only one target.","","","","","","","",""
"Almiraj","ToA","211","Small","Beast","unaligned","13","3 (1d6)","50 ft.","2","16","10","2","14","10","","Perception +4, Stealth +5","","","","","Darkvision 30 ft., passive Perception 14","—","0 (XP 10; PB +2)","Familiar. With the DM's permission, the find familiar spell can summon an almiraj.

Keen Senses. The almiraj has advantage on Wisdom (Perception) checks that rely on hearing or sight.","Horn. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.","","","","","","","",""
"Ankylosaurus Zombie","ToA","240","Huge","Undead","unaligned","14 (natural armor)","68 (8d12 + 16)","20 ft.","19","9","15","2","6","3","","","","","poison","poisoned","Darkvision 60 ft., passive Perception 8","—","3 (XP 700; PB +2)","Undead Fortitude. If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5+the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.","Tail. Melee Weapon Attack: +6 to hit, reach 10 ft., one target Hit: 18 (4d6 + 4) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.","","","","","","","",""
"Artus Cimber","ToA","212","Medium","Humanoid (Human)","neutral good","14 (studded leather)","82 (15d8 + 15)","30 ft.","10","15","13","17","16","18","Dex +5, Cha +7","Deception +7, History +9, Insight +6, Survival +9","","","While wearing the Ring of Winter: cold","","passive Perception 13","Common, Draconic, Dwarvish, Goblin","7 (XP 2,900; PB +3)","Special Equipment. Artus wears the Ring of Winter. He and the ring can't be targeted by divination magic or perceived through magical scrying sensors. While attuned to and wearing the ring, Artus ceases to age and is immune to cold damage and the effects of extreme cold.

Artus wields Bookmark a +3 dagger with additional magical properties. As a bonus action, Artus can activate any one of the following properties while attuned to the dagger, provided he has the weapon drawn:

Cause a blue gem set into the dagger's pommel to shed bright light in a 20-foot radius and dim light for an additional 20 feet, or make the gem go dark.Turn the dagger into a compass that, while resting on your palm, points north.Cast dimension door from the dagger. Once this property is used, it can't be used again until the next dawn.Cast compulsion (save DC 15) from the dagger. The range of the spell increases to 90 feet but it targets only spiders that are beasts. Once this property is used, it can't be used again until the next dawn.","Multiattack. Artus makes three attacks with Bookmark or his longbow.

Bookmark (+3 Dagger). Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 7 (1d4 + 5) piercing damage.

Longbow. Ranged Weapon Attack: +5 to hit, range 150/600 ft., one target Hit: 6 (1d8 + 2) piercing damage.

Ring of Winter. The Ring of Winter has 12 charges and regains all its expended charges daily at dawn. While attuned to and wearing the ring, Artus can expend the necessary number of charges to activate one of the following properties:

Artus can expend 1 charge and use the ring to lower the temperature in a 120-foot-radius sphere centered on a point he can see within 300 feet of him. The temperature in that area drops 20 degrees per minute, to a minimum of −30 degrees Fahrenheit. Frost and ice begin to form on surfaces once the temperature drops below 32 degrees. This effect is permanent unless Artus uses the ring to end the effect as an action, at which point the temperature in the area returns to normal at a rate of 10 degrees per minute.Artus can cast one of the following spells from the ring (spell save DC 17) by expending the necessary number of charges: Bigby's hand (2 charges) the hand is made of ice, is immune to cold damage, and deals bludgeoning damage instead of force damage as a clenched fist, cone of cold (2 charges), flesh to ice (3 charges); as flesh to stone except that the target turns to solid ice with the density and durability of stone, ice storm (2 charges), Otiluke's freezing sphere (3 charges), sleet storm (1 charge), spike growth (1 charge) the spikes are made of ice, or wall of ice (2 charges).Artus can expend the necessary number of charges and use the ring to create either an inanimate ice object (2 charges) or an animated ice creature (4 charges). The ice object can't have any moving parts, must be able to fit inside a 10-foot cube, and has the density and durability of metal or stone (Artus's choice). The ice creature must be modeled after a beast with a challenge rating of 2 or less. The ice creature has the same statistics as the beast it models, with the following changes: the creature is a construct with vulnerability to fire damage, immunity to cold and poison damage, and immunity to the following conditions: charmed, exhaustion, frightened, paralyzed, petrified, and poisoned. The ice creature obeys only its creator's commands. The object or creature appears in an unoccupied space within 60 feet of Artus. It melts into a pool of normal water after 24 hours or when it drops to 0 hit points. In extreme heat, it loses 5 (1d10) hit points per minute as it melts. Use the guidelines in chapter 8 of the Dungeon Master's Guide to determine the hit points of an inanimate object if they become necessary.","","","","","","","",""
"Asharra","ToA","69","Medium","Humanoid (Aarakocra)","lawful neutral","12","31 (7d8)","20 ft., Fly 50 ft.","10","14","10","14","17","11","","History +4, Insight +5, Perception +7","","","","","passive Perception 17","Auran, Common","2 (XP 450; PB +2)","Dance of the Seven Winds[–] Asharra knows a ritual called the Dance of the Seven Winds, which temporarily grants magical flight to as many as ten nonflying creatures. The ritual, which takes 10 minutes to complete, can only be performed by an aarakocra elder and requires a black orchid as a material component.

Asharra must grind the orchid to powder, inhale it, and dance in circles around the ritual's beneficiaries uninterrupted while seven other aarakocra chant prayers to the Wind Dukes of Aaqa. When the dance concludes, Asharra's wings disappear and she loses the ability to fly. The ritual's beneficiaries each gain a magical flying speed of 30 feet (allowing them to fly 4 miles per hour). This benefit lasts for 3 days, after which Asharra's wings reappear and she regains the ability to fly.

Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target.

Spellcasting. Asharra is a 5th-level spellcaster. Her spellcasting ability is Wisdom (spell save DC 13, +5 to hit with spell attacks). Asharra has the following druid spells prepared:

Cantrips (at will): druidcraft, mending, produce flame

1st level (4 slots): detect magic, faerie fire, thunderwave

2nd level (3 slots): gust of wind, hold person, lesser restoration

3rd level (2 slots): call lightning, wind wall","Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.

Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.

Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.","","","","","","","",""
"Assassin Vine","ToA","213","Large","Plant","unaligned","13 (natural armor)","85 (10d10 + 30)","5 ft., Climb 5 ft.","18","10","16","1","10","1","","","","cold, fire","","blinded, deafened, exhaustion, prone","Blindsight 30 ft., passive Perception 10","—","3 (XP 700; PB +2)","False Appearance. While the assassin vine remains motionless, it is indistinguishable from a normal plant.","Constrict. Melee Weapon Attack: +6 to hit, reach 20 ft., one creature. Hit: The target takes 11 (2d6 + 4) bludgeoning damage, and it is grappled (escape DC 14). Until this grapple ends, the target is restrained, and it takes 21 (6d6) poison damage at the start of each of its turns. The vine can constrict only one target at a time.

Entangling Vines. The assassin vine can animate normal vines and roots on the ground in a 15-foot square within 30 feet of it. These plants turn the ground in that area into difficult terrain. A creature in that area when the effect begins must succeed on a DC 13 Strength saving throw or be restrained by entangling vines and roots. A creature restrained by the plants can use its action to make a DC 13 Strength (Athletics) check, freeing itself on a successful check. The effect ends after 1 minute or when the assassin vine dies or uses Entangling Vines again.","","","","","","","",""
"Atropal","ToA","214","Huge","Undead (Titan)","neutral evil","7","225 (18d12 + 108)","0 ft., Fly 50 ft. (hover)","19","5","22","25","19","24","Con +11, Wis +9","","radiant","","cold, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks","charmed, exhaustion, frightened, poisoned","Darkvision 120 ft., Truesight 120 ft., passive Perception 14","Understands Celestial but utters only obscene nonsense","13 (XP 10,000; PB +5)","Magic Resistance. The atropal has advantage on saving throws against spells and other magical effects.

Negative Energy Aura. Creatures within 30 feet of the atropal can't regain hit points, and any creature that starts its turn within 30 feet of the atropal takes 10 (3d6) necrotic damage. If the atropal is struck by a vorpal sword, the wielder can cut the atropal's umbilical cord instead of dealing damage. If its umbilical cord is cut, the atropal loses this feature.

Turn Resistance Aura. The atropal and any other undead creature within 30 feet of it has advantage on saving throws against any effect that turns undead.","Touch. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 10 (3d6) necrotic damage.

Ray of Cold. Ranged Spell Attack: +12 to hit, range 120 ft., one target. Hit: 21 (6d6) cold damage.

Life Drain. The atropal targets one creature it can see within 120 feet of it. The target must succeed on a DC 19 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one. The atropal regains a number of hit points equal to half the amount of damage dealt.

Summon Wraith (Recharge 6). The atropal summons a wraith which materializes within 30 feet of it in an unoccupied space it can see. The wraith obeys its summoner's commands and can't be controlled by any other creature. The Wraith vanishes when it drops to 0 hit points or when its summoner dies.","","","Touch. The atropal makes a touch attack.

Ray of Cold (Costs 2 Actions). The atropal uses its Ray of Cold.

Wail (Costs 3 Actions). The atropal lets out a withering wail. Any creature within 120 feet of the atropal that can hear the wail must succeed on a DC 19 Constitution saving throw or gain 1 level of exhaustion.","","","","",""
